Year,Participants,Total Prize Pool,Champion,Runner-up,3d place,4d place,Quarter finalists,Last 16,Last 24,Semi finalists,Last 32,Last 64,Last 96
1994,24,"£64,000","£16,000","£8,000","£5,000","£3,000","£2,500","£1,500","£1,250",,,,
1995,24,"£55,000","£12,000","£6,000","£4,000","£3,000","£2,000","£1,500","£1,250",,,,
1996,24,"£62,500","£14,000","£7,000","£4,000","£4,000","£2,500","£1,500","£1,250",,,,
1997,25,"£99,500","£45,000","£10,000","£5,000","£4,000","£3,000","£1,500","£1,250",,,,
1998,24,"£72,500","£20,000","£10,000","£5,000","£4,000","£2,000","£1,500","£1,500",,,,
1999,32,"£104,000","£30,000","£16,000",,,"£3,000","£1,750",,"£6,000","£1,250",,
2000,32,"£111,000","£31,000","£16,400",,,"£3,400","£1,825",,"£6,400","£1,350",,
2001,32,"£125,000","£33,000","£18,000",,,"£4,000","£2,000",,"£8,500","£1,500",,
2002,32,"£205,000","£50,000","£25,000",,,"£7,000","£4,500",,"£12,500","£2,500",,
2003,40,"£237,000","£50,000","£25,000",,,"£7,000","£5,000",,"£12,500","£3,000",,
2004,48,"£257,000","£50,000","£25,000",,,"£7,500","£5,250",,"£12,500","£3,250",,
2005,48,"£300,000","£60,000","£30,000",,,"£9,000","£6,500",,"£15,000","£3,500",,
2006,64,"£500,000","£100,000","£50,000",,,"£12,500","£8,500",,"£20,000","£5,000","£3,500",
2007,64,"£500,000","£100,000","£50,000",,,"£12,500","£8,500",,"£20,000","£5,000","£3,500",
2008,68,"£589,000","£100,000","£50,000",,,"£15,000","£10,500",,"£22,500","£7,000","£4,000",
2009,70,"£724,000","£125,000","£60,000",,,"£20,000","£12,000",,"£30,000","£8,000","£5,000",
2010,72,"£1,000,000","£200,000","£100,000","£60,000","£40,000","£25,000","£15,000",,,"£10,000","£6,000",
2011,72,"£1,000,000","£200,000","£100,000",,,"£25,000","£15,000",,"£50,000","£10,000","£6,000",
2012,72,"£1,000,000","£200,000","£100,000",,,"£25,000","£15,000",,"£50,000","£10,000","£6,000",
2013,72,"£1,000,000","£200,000","£100,000",,,"£25,000","£15,000",,"£50,000","£10,000","£6,000",
2014,72,"£1,050,000","£250,000","£100,000",,,"£25,000","£15,000",,"£50,000","£10,000","£6,000",
2015,72,"£1,250,000","£250,000","£120,000",,,"£35,000","£18,000",,"£60,000","£12,000","£8,000",
2016,72,"£1,500,000","£300,000","£150,000",,,"£35,000","£22,000",,"£70,000","£15,000","£10,000",
2017,72,"£1,650,000","£350,000","£160,000",,,"£38,000","£25,000",,"£80,000","£17,000","£10,000",
2018,72,"£1,800,000","£400,000","£170,000",,,"£40,000","£27,000",,"£85,000","£18,500","£11,000",
2019,96,"£2,500,000","£500,000","£200,000",,,"£50,000","£35,000",,"£100,000","£25,000","£15,000","£7,500"
2020,96,"£2,500,000","£500,000","£200,000",,,"£50,000","£35,000",,"£100,000","£25,000","£15,000","£7,500"
2021,96,"£2,500,000","£500,000","£200,000",,,"£50,000","£35,000",,"£100,000","£25,000","£15,000","£7,500"
2022,96,"£2,500,000","£500,000","£200,000",,,"£50,000","£35,000",,"£100,000","£25,000","£15,000","£7,500"
2023,96,"£2,500,000","£500,000","£200,000",,,"£50,000","£35,000",,"£100,000","£25,000","£15,000","£7,500"
2024,96,"£2,500,000","£500,000","£200,000",,,"£50,000","£35,000",,"£100,000","£25,000","£15,000","£7,500"
2025,96,"£2,500,000","£500,000","£200,000",,,"£50,000","£35,000",,"£100,000","£25,000","£15,000","£7,500"
